Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
A1BG	0.0910888919967406	0.74135398699266	0.977860189211594	0.489985347975504	0.0126116926799643	0.0450189536170877	0.053035466682748	0.0971038978322698
A2M	-0.985422975348746	7.0940835809542e-06	0.000465018406081648	-0.309815864640842	0.151821886186595	0.278681736119753	1.58769263700434e-05	0.000125690066334166
AAAS	0.11178880743972	0.34392587329867	0.71559963034373	0.257141838402832	0.000876317363170966	0.00668565170659693	0.00274477632828058	0.00863535525259473
AACS	0.586466417543855	0.00103711514943454	0.0156011985634367	0.492499578494093	0.019449996713371	0.0617038112487026	0.000238254605693818	0.00115843357922116
AADAC	-2.21966634157516	9.78259428318343e-05	0.00281929208063834	-0.763064882639599	0.0125663249683293	0.0449412861948611	1.79590886228215e-05	0.000139701120966532
AAGAB	0.335463887260049	0.00193015880023831	0.0241831536453138	0.332188224980415	0.0132359853758408	0.046631385567956	0.000295712263735187	0.00138617442573985
AAK1	-0.1671620194071	0.18551991009221	0.515239940932818	-0.19574838603051	0.018253853459435	0.0589209433123346	0.0226485003203049	0.0488253696122622
AAMDC	0.0282604869464174	0.862988042260041	0.979412103366344	0.198851703514404	0.384826608945012	0.533807578886377	0.69818100329339	0.758146847348962
AAMP	0.209914476241402	0.0570249470289103	0.250296709109286	0.396450583400836	0.00399980143460288	0.0193361829352802	0.00214078736001249	0.00705600492016466
AAR2	0.18578643600717	0.0502408931035841	0.23136621318069	0.103154352429215	0.308589465172709	0.459984375063627	0.080103066618347	0.135383423155912
AARS	0.610138743948507	1.61374726276058e-05	0.000785882471612762	0.6002532952826	8.1723312752695e-05	0.00135860546571838	2.82838543071571e-08	7.09184427459993e-07
AARS2	0.101518211724191	0.375537285880805	0.744394511219626	-0.182763373153899	0.173375705382386	0.305221415209592	0.242966881813521	0.330803305559517
AARSD1	0.0995021794022173	0.399238317469892	0.762800876061486	0.0673690781241705	0.540266320278441	0.673916736992144	0.546547382027986	0.627215794580419
AASDHPPT	0.186150007492295	0.061670656367297	0.263642751817829	0.21926479226377	0.10431022665768	0.211678588958309	0.0388953285882718	0.0754284700782682
AASS	-0.537761088641503	0.00644088464232098	0.0568558467691938	-0.669140434709712	0.0263508703689318	0.0766955378398497	0.00164314588881587	0.00568670036184907
