,AP.27JZ,AP.2XNK,AP.3336,AP.352Q,AP.3FY5,AP.4HAU,AP.4M7L,AP.52RG,AP.5JDU,AP.5L2V,AP.5MX6,AP.62LT,AP.67ZV,AP.7GDN,AP.8MWD,AP.9D3B,AP.9LNA,AP.9PXS,AP.A5NG,AP.AAFC,AP.AGZG,AP.B2SL,AP.B9CH,AP.CT3G,AP.D35H,AP.D9X4,AP.DM87,AP.DMUM,AP.DT88,AP.E7CU,AP.E98M,AP.EPNF,AP.EZEX,AP.FX68,AP.HKYN,AP.HMFR,AP.HML4,AP.JBET,AP.JK59,AP.KX5B,AP.KXUT,AP.LWHD,AP.MAZ4,AP.N8FG,AP.NMZS,AP.QAHT,AP.QUHC,AP.RA2G,AP.RBLG,AP.SJVE,AP.SS2L,AP.U8MP,AP.W455,AP.WDKZ,AP.WPAM,AP.WTXJ,AP.XCJX,AP.XSR5,AP.XVLY,AP.YTZ8
IGLV8-61,1.119084419,-1.170210943,-1.023775691,-1.048794453,-0.296355401,-0.671616437,-0.948896628,-1.057278124,-0.338207582,-0.50098513,0.453604144,-1.453207192,1.053070499,-1.420585281,1.073534392,-1.883969936,0.730849866,0.291053069,-0.075435717,-5.264258653,2.065151855,-1.354112334,-1.301846144,-3.310657198,-0.646769516,0.040053814,0.245912868,0.984554438,-1.128290389,-0.539913828,-0.488799295,0.595458703,-1.109467522,-1.058803188,-0.888660247,-0.176543943,-1.579249385,0.43572932,0.050654205,-0.962702726,2.623979155,-0.232251834,-0.348912708,-0.361496235,0.190328119,-0.480858017,-0.272630237,0.398006293,-2.402635827,1.479527846,-0.71347727,-0.251869383,-1.836284462,1.499061392,-2.223145226,0.03247128,-0.417692285,0.305499027,-1.916678652,-1.207685948
IGLV3-9,-0.502963979,-0.107936633,-0.554793769,-0.180688978,-0.230394374,-0.104036013,0.300157675,0.095150628,-0.636485866,2.05698762,-1.596896046,0.107293304,-0.073021837,-0.133736919,3.672646883,-0.241445461,0.177783757,-0.371069964,0.164373198,-0.013581474,5.080655231,-0.319083949,-0.461273862,-0.317428884,0.086731932,0.091569468,-1.075871243,0.0314769,-0.272919185,-0.719896568,-0.027945947,-0.316577094,-0.214963821,-0.715873426,-0.510669608,1.44204863,-0.089523036,-0.155232939,-0.083364964,0.12105204,0.029514591,-0.282970116,0.287024449,0.057576389,-0.260716339,-0.038758545,-0.141915614,-0.216372091,-0.088223144,0.894922508,0.905179487,0.141661184,-0.321899857,0.547297113,-0.414846764,-0.552479005,0.357082105,-1.06433325,0.773929885,0.194088276
IGHV3-49,-0.428356496,-0.749595288,-3.333288977,-0.645530452,0.006341976,-0.281390978,-0.040771382,-1.941915445,0.14614138,1.699428994,-0.956971496,-0.581742995,-0.66619602,-0.581735262,5.868324209,-0.540111289,-1.088457271,-0.056227233,-0.4732257,-1.601902351,1.519647384,-1.175665897,-0.336866079,-1.904541203,-1.370537656,-0.717541912,0.331113108,0.332627514,0.431660323,-0.603996544,-1.998770548,-0.160555801,-1.173730886,-1.016315317,-0.765946775,1.927287614,-2.137310273,-0.332983337,-0.850491335,-0.561260201,1.724429155,-0.151539274,5.60527732,-0.533725895,-1.629760069,-0.185255693,-0.408430158,0.980532251,-1.329873551,1.532892174,0.10356646,-0.776702512,-1.136304626,1.125893239,0.408241455,-0.311605802,-0.658837136,-0.064042328,1.732810611,2.027123542
IGHV6-1,1.140006515,-0.812290873,-2.11189058,-1.070634587,-0.457388667,-0.601054414,-0.309952636,-1.29766562,0.119121048,0.032766047,-0.799011435,-0.179617121,-0.393477096,-1.225320383,1.709114608,-1.256782488,-1.702531244,1.336469647,-0.920068535,-0.909148715,2.310105241,-0.275297114,-1.472621367,-2.80037318,-0.771490478,-1.434639979,0.573296554,1.540877573,-0.206639524,-0.665102454,-0.633573592,0.042752172,-1.739168644,-1.585910668,-1.657866541,-0.224653231,-1.532833279,-0.640938029,0.203471969,2.049433023,1.064339869,-0.516383914,-0.256560635,-1.528648764,-0.059303464,0.209167688,-0.116447439,0.63746951,-1.942931396,2.599278633,-1.016773216,-1.590553284,-0.722222207,0.399473549,-1.060855486,0.363724752,0.304513473,-1.291364442,-0.011086221,-0.000840619
IGHV3-15,-0.970831499,-0.609542589,-2.083449363,-0.729227547,-0.344635231,-0.762193917,-0.652095743,-0.881946437,0.117392084,1.603567781,-0.586783816,0.105027361,0.780335383,-1.180154654,6.161393367,-1.279211447,-1.754467381,-0.330019368,-0.214188815,-1.456096287,0.747220573,-0.267407934,-1.313675025,-1.134853534,-0.233125538,-1.279717995,1.45698792,0.040381596,-0.975244604,-0.367353162,-1.054637518,-0.411621133,-1.005509491,-1.662409947,-1.64253956,-0.24132435,-0.159072515,-0.873246351,-0.090883902,-0.599141161,0.101535277,-0.554105265,0.286578167,-1.047652968,-0.711022714,0.002579222,-0.732712015,0.181309899,-1.491222935,2.038362905,1.027383763,-1.161196779,-1.508191713,0.079935902,-0.295925742,-0.399279473,-0.062106605,0.023146174,3.388527875,0.485366442
IGHV3-74,-0.687728852,-0.142822895,-0.635312307,-1.037903002,-0.656659257,-0.727277983,-0.903419047,-0.405706447,0.060563958,0.733272111,-0.748876608,-0.033533911,0.630792844,-0.148595742,1.885123953,-1.784839826,-0.660965775,-0.013456698,0.643212502,-1.290782062,1.191701403,-0.396055817,-0.660976332,-1.685234035,-0.280059364,-0.920507575,-0.163515397,0.446591041,-0.147813667,-0.910166449,-0.65044762,-1.150769794,-0.780044864,-0.798661351,-0.747096522,0.810598485,-0.36339776,-0.784135314,0.166651518,0.141176985,0.4455406,-0.563239038,1.228132044,-0.259184453,-0.185409573,-0.009611163,0.082051505,0.908080989,-0.759820197,2.468957172,-0.084110743,-0.20081405,-1.357451848,0.370363217,-0.683365354,-0.123467385,-0.609808124,0.270278308,0.692519238,0.900033957
IGHV1-69D,0.183634321,0.068972344,-0.302288151,-0.400165829,-0.498792857,-0.005589785,-0.345894511,-0.676547325,0.016401665,1.883431321,-0.418741876,0.344981167,3.538306971,-0.426584679,0.526096854,-0.512746747,-0.017095707,0.139592399,-0.30722564,-0.146673788,0.64279255,0.004131275,-0.072211532,-0.210182499,0.205632283,0.201598482,0.15264568,-0.196856532,-0.03857265,-0.640437114,0.065340493,0.118061118,-0.788156757,-0.33512482,-0.006633009,0.480930446,-0.031830083,-0.413449458,-0.378264757,-0.330470789,0.037208716,-0.076464018,1.10592479,0.028883607,0.023751684,0.333262971,0.002156587,0.880725982,-0.086181109,3.062240023,-0.876657306,0.400663612,-0.489588531,0.919358817,-0.110690961,0.307713443,1.032514975,-0.051089185,0.143409879,0.451146661
IGHV1-3,-1.032235436,-0.54704909,-2.394914936,-0.333582711,-0.022168202,-1.270421681,-0.520554327,0.07644638,-0.233392119,0.025242396,0.051134186,0.138298288,0.267513624,-0.549695347,6.418337835,-1.191033873,0.624304286,-1.024598292,0.233367983,-0.594583727,0.499641334,-0.268828882,-0.419681688,-0.26500679,0.057423063,-0.65217533,0.307314412,-0.156979024,0.276655023,-0.540842878,0.042170934,-1.58037668,-0.250025494,-0.640301662,-0.297549632,-0.134394356,-0.032226869,0.289618178,-0.62448215,0.192118691,0.299000784,-1.485250964,0.072874934,-0.533352976,-0.305443276,0.457681027,0.139410428,0.104259168,0.325514788,0.069180132,-0.513798564,-0.264961847,-0.860160832,0.37666354,-0.353839551,1.693909771,0.291030121,0.215728645,-0.231803621,0.413963403
IGHV1-18,-0.538277713,-0.385345319,-0.233541004,-0.208651328,0.000881202,-0.429099924,-0.75382996,-0.024208034,0.257921127,2.025006703,-0.394933482,0.136166435,0.51069871,-0.591885815,3.215348639,-0.946575358,0.1271101,-0.478341262,0.329945125,0.010772764,0.740507603,-1.240697174,-0.384376793,-0.288484588,0.082234428,-0.011208139,-0.945557706,0.444552276,-0.567020598,-0.184228991,-0.609542702,-0.139683856,-1.070359759,-0.873604284,-0.440986166,0.542126568,0.220647842,-0.289901834,-0.515170793,0.10180435,-0.632489146,-0.638917695,0.235829152,-0.332916135,-1.001994913,-0.858111488,-0.654779325,0.813672968,-0.074894873,2.207293774,-0.162363795,0.2870972,0.060853865,0.735293213,0.382330172,0.371769308,0.689861188,0.139358642,0.260416319,-0.116682159
IGHV4-28,-0.279293489,-2.05032437,-1.426106933,-1.34097659,0.205892529,-2.340380406,1.45204664,-1.070396295,1.486160779,0.940552377,-1.739139042,0.766934063,0.766692181,-1.536495803,4.137570155,-1.90900849,-0.007188351,-0.802931223,0.138554253,-1.334999703,-1.136609405,-0.918608814,-0.399457142,-2.698144405,1.229267189,-0.080278348,-0.150361394,0.254203736,-0.205331666,0.445432197,-1.285995513,-1.090216876,-3.41295077,-1.443726564,-1.130492817,1.148794167,-0.584300197,-1.121701281,0.926494193,1.881800816,1.683760257,0.389266206,-0.744090852,0.508843557,-0.045841855,0.497330359,-0.303677934,0.350059666,-1.390336595,0.976472753,-0.599809463,-0.460638713,-0.83900035,1.410916068,-0.542803282,-0.950588763,-0.246490605,-1.048318473,0.943556137,0.543594081
